OID_,FACILITYID,LSPC_LU_EDIT,Shape_Area,AREA,PERCENTAGE
68,I01-11010-2,TRANS,293124.389883305528201,6.729236969338444,30.690191232711463
69,I01-11015-1,COMM,58987.747351669888303,1.354177761785288,53.493897335059806
70,I01-11015-1,OSDEV,19000.720194593872293,0.436198259818702,17.231079690535562
71,I01-11015-1,TRANS,32281.573184681441489,0.741085911647419,29.275014545994228
72,I01-11015-2,COMM,48457.193881610437529,1.112428551675102,0.453352684537220
73,I01-11015-2,OSDEV,242456.392139925999800,5.566055141607072,2.268357852672905
74,I01-11015-2,OSLOW,10073663.972011620178819,231.260428530495744,94.246534704323864
75,I01-11015-2,RESMF,7866.149778711369436,0.180582673172747,0.073593616003918
76,I01-11015-2,RESSFH,128987.593988205553615,2.961159548671473,1.206773800179586
77,I01-11015-2,TRANS,68924.875180169357918,1.582303739221699,0.644842895167749
